length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
3.51,4.603,0.019,0.447,0.026,0.018,0.024,0.096,0.29,3.87,2.76
4.269,2.067,0.034,0.206,0.051,0.019,0.023,0.062,0.4,2.64,4.71
4.747,4.837,0.027,0.153,0.042,0.026,0.013,0.077,0.44,3.55,3.81
2.211,5.154,0.025,0.328,0.033,0.039,0.022,0.064,0.32,4.37,2.23
3.438,3.811,0.04,0.696,0.092,0.046,0.012,0.032,0.33,3.12,3.38
2.773,4.116,0.011,0.521,0.082,0.028,0.005,0.052,0.2,4.5,2.03
5.012,2.753,0.028,0.628,0.059,0.043,0.018,0.071,0.08,4.02,2.44
5.081,1.88,0.031,0.762,0.089,0.016,0.008,0.027,0.24,2.82,2.51
3.319,2.612,0.023,0.507,0.098,0.031,0.019,0.068,0.18,4.61,2.91
1.87,5.014,0.017,0.461,0.079,0.024,0.014,0.039,0.28,4.82,4.51
3.11,4.279,0.03,0.177,0.029,0.033,0.011,0.084,0.16,3.36,3.74
3.746,4.376,0.033,0.389,0.022,0.037,0.003,0.087,0.15,3.22,2.6
2.508,3.61,0.018,0.108,0.072,0.049,0.005,0.048,0.42,2.16,3.62
2.049,3.019,0.021,0.355,0.085,0.048,0.015,0.08,0.09,2.33,3.14
4.387,3.999,0.037,0.251,0.055,0.031,0.0,0.041,0.35,2.09,4.65
2.417,3.282,0.012,0.598,0.065,0.04,0.02,0.044,0.38,3.79,3.26
4.687,2.875,0.013,0.573,0.036,0.036,0.016,0.036,0.21,4.2,4.34
2.967,2.304,0.036,0.284,0.048,0.023,0.01,0.097,0.27,2.96,3.97
4.088,3.386,0.024,0.775,0.073,0.022,0.001,0.091,0.11,4.89,4.89
3.848,2.462,0.015,0.685,0.061,0.044,0.007,0.058,0.05,2.56,4.18
