length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
2.125,4.48,0.01,0.71,0.092,0.021,0.016,0.096,0.06,2.43,2.69
4.942,2.407,0.026,0.354,0.06,0.034,0.014,0.037,0.26,3.65,4.85
4.469,2.767,0.027,0.64,0.078,0.042,0.019,0.049,0.2,2.74,2.95
3.852,2.105,0.03,0.405,0.033,0.028,0.006,0.067,0.16,2.95,2.18
2.237,1.841,0.013,0.481,0.045,0.037,0.013,0.092,0.44,3.46,4.57
3.453,3.574,0.038,0.534,0.059,0.036,0.01,0.082,0.38,3.96,3.32
4.035,3.131,0.012,0.183,0.066,0.031,0.004,0.078,0.33,2.24,2.89
5.167,4.994,0.018,0.306,0.043,0.03,0.006,0.025,0.08,4.67,4.47
4.57,4.171,0.024,0.122,0.094,0.016,0.017,0.034,0.24,4.97,3.88
2.629,3.758,0.029,0.318,0.082,0.018,0.002,0.062,0.34,3.14,3.44
3.515,4.283,0.017,0.578,0.054,0.039,0.009,0.097,0.14,3.69,3.51
1.827,2.864,0.034,0.211,0.071,0.04,0.008,0.058,0.36,4.35,4.31
4.251,4.842,0.015,0.261,0.097,0.05,0.012,0.046,0.18,3.85,3.15
2.956,4.532,0.022,0.445,0.027,0.048,0.02,0.042,0.27,4.53,2.54
2.366,3.86,0.039,0.795,0.074,0.019,0.025,0.064,0.43,2.04,3.96
2.728,2.648,0.023,0.61,0.029,0.023,0.0,0.087,0.3,2.79,3.75
3.777,3.2,0.032,0.738,0.086,0.027,0.022,0.074,0.1,4.7,2.15
3.102,2.179,0.036,0.5,0.021,0.045,0.02,0.072,0.12,3.25,2.4
4.746,3.395,0.033,0.153,0.04,0.044,0.023,0.03,0.4,2.54,4.2
3.208,5.187,0.019,0.664,0.048,0.025,0.004,0.052,0.22,4.21,4.79
