length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
2.266,3.959,0.016,0.797,0.09,0.029,0.014,0.077,0.16,2.5,2.97
3.134,4.616,0.025,0.715,0.037,0.043,0.022,0.042,0.35,3.9,4.62
2.328,5.068,0.035,0.558,0.022,0.021,0.009,0.055,0.31,3.52,2.65
4.036,4.24,0.029,0.432,0.098,0.027,0.001,0.025,0.2,3.98,4.92
2.022,3.612,0.02,0.512,0.056,0.039,0.012,0.08,0.25,4.12,4.79
2.824,3.229,0.033,0.401,0.071,0.027,0.011,0.03,0.25,2.15,2.02
2.633,4.953,0.014,0.253,0.094,0.048,0.017,0.068,0.22,2.82,2.46
4.651,3.383,0.018,0.344,0.063,0.033,0.023,0.036,0.18,4.55,3.38
3.991,3.15,0.021,0.154,0.067,0.032,0.007,0.072,0.14,2.75,4.38
5.164,2.745,0.023,0.604,0.035,0.019,0.009,0.062,0.11,3.27,4.43
5.019,3.809,0.032,0.462,0.04,0.045,0.024,0.047,0.39,4.91,2.29
2.777,4.074,0.012,0.189,0.073,0.04,0.018,0.09,0.44,3.05,3.71
4.185,2.983,0.036,0.22,0.045,0.016,0.021,0.058,0.37,2.45,3.96
4.746,2.275,0.04,0.119,0.081,0.024,0.005,0.096,0.06,2.95,2.85
4.401,2.465,0.024,0.534,0.049,0.035,0.003,0.065,0.13,3.74,2.37
3.337,4.739,0.037,0.346,0.087,0.043,0.004,0.039,0.32,4.56,3.63
3.582,2.025,0.015,0.733,0.029,0.047,0.015,0.051,0.09,2.18,4.11
3.328,2.516,0.01,0.278,0.059,0.024,0.002,0.085,0.38,4.39,3.84
1.922,4.437,0.03,0.686,0.078,0.037,0.016,0.094,0.43,4.73,3.26
3.792,1.805,0.027,0.637,0.025,0.018,0.02,0.085,0.27,3.47,3.18
