length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
3.185,4.706,0.032,0.45,0.073,0.019,0.009,0.028,0.262,2.844,2.551
2.684,4.462,0.035,0.104,0.097,0.031,0.023,0.056,0.351,3.978,2.773
3.726,2.232,0.033,0.431,0.074,0.03,0.007,0.075,0.284,2.097,3.372
4.947,2.036,0.015,0.737,0.044,0.024,0.022,0.033,0.151,4.544,3.0
2.113,4.187,0.021,0.469,0.065,0.031,0.001,0.05,0.107,2.296,4.86
3.082,2.313,0.011,0.251,0.049,0.025,0.018,0.068,0.357,4.202,2.08
1.99,1.872,0.028,0.463,0.078,0.047,0.005,0.037,0.238,4.314,2.383
3.364,3.367,0.012,0.621,0.029,0.015,0.021,0.099,0.18,2.737,4.164
4.512,2.974,0.011,0.744,0.073,0.026,0.017,0.042,0.425,2.962,2.847
5.144,5.099,0.034,0.789,0.055,0.049,0.018,0.072,0.427,3.258,3.036
2.37,4.994,0.026,0.324,0.046,0.035,0.016,0.061,0.227,4.816,2.219
2.519,4.522,0.037,0.166,0.077,0.037,0.024,0.055,0.376,4.245,3.647
4.057,4.278,0.019,0.416,0.022,0.041,0.014,0.057,0.054,4.604,3.149
2.81,3.268,0.012,0.603,0.051,0.047,0.015,0.059,0.247,2.715,3.821
4.297,5.016,0.021,0.182,0.041,0.049,0.016,0.063,0.062,3.441,3.993
2.867,2.938,0.021,0.214,0.024,0.041,0.008,0.095,0.393,3.807,2.911
2.435,2.143,0.019,0.342,0.054,0.05,0.001,0.03,0.172,2.05,2.036
4.73,4.346,0.02,0.307,0.032,0.016,0.01,0.039,0.397,2.36,2.314
4.113,2.644,0.037,0.573,0.04,0.038,0.025,0.078,0.138,2.536,4.31
2.021,4.1,0.013,0.197,0.03,0.035,0.002,0.051,0.206,3.325,4.474
1.874,4.851,0.027,0.295,0.092,0.039,0.017,0.049,0.293,4.981,4.777
2.925,3.125,0.029,0.659,0.037,0.028,0.006,0.081,0.21,4.029,3.502
3.65,2.379,0.017,0.148,0.025,0.019,0.004,0.079,0.383,2.94,3.86
2.971,4.147,0.014,0.396,0.021,0.017,0.021,0.093,0.415,3.692,3.786
4.835,3.54,0.032,0.686,0.098,0.033,0.003,0.027,0.329,3.638,4.411
4.997,5.143,0.038,0.576,0.058,0.043,0.011,0.061,0.222,2.368,2.618
4.432,4.876,0.025,0.491,0.039,0.04,0.008,0.041,0.319,3.105,4.273
3.301,3.453,0.023,0.381,0.035,0.03,0.01,0.092,0.435,3.288,4.651
3.84,3.68,0.039,0.333,0.052,0.027,0.012,0.035,0.124,3.063,2.829
4.189,2.578,0.022,0.633,0.1,0.022,0.013,0.07,0.117,3.538,2.16
1.804,4.03,0.016,0.702,0.063,0.044,0.015,0.053,0.336,4.067,3.259
2.16,2.431,0.024,0.539,0.084,0.023,0.024,0.045,0.186,3.145,4.091
2.712,3.725,0.016,0.614,0.086,0.033,0.02,0.044,0.307,3.765,3.411
4.707,3.223,0.03,0.232,0.068,0.036,0.02,0.096,0.103,2.826,3.455
3.592,4.607,0.018,0.137,0.085,0.018,0.006,0.083,0.154,4.51,4.949
3.92,2.793,0.031,0.116,0.057,0.035,0.022,0.031,0.403,4.411,3.969
3.109,4.786,0.027,0.5,0.082,0.028,0.014,0.067,0.135,2.181,4.384
3.24,2.74,0.031,0.255,0.08,0.045,0.019,0.064,0.299,3.393,3.267
2.233,3.34,0.035,0.727,0.027,0.032,0.023,0.077,0.085,4.114,4.573
3.458,3.608,0.023,0.552,0.07,0.022,0.0,0.026,0.168,2.586,3.698
3.521,1.855,0.036,0.665,0.09,0.017,0.011,0.074,0.344,2.651,3.097
4.599,2.502,0.039,0.708,0.094,0.021,0.019,0.091,0.267,4.646,4.157
4.915,4.409,0.014,0.204,0.061,0.046,0.002,0.084,0.096,2.175,4.727
3.827,3.835,0.04,0.355,0.05,0.039,0.005,0.071,0.445,3.888,4.919
4.341,2.094,0.025,0.515,0.088,0.024,0.009,0.088,0.078,2.443,2.503
4.018,3.054,0.034,0.276,0.043,0.044,0.004,0.088,0.2,4.759,3.591
2.604,3.842,0.01,0.521,0.091,0.042,0.003,0.047,0.256,4.344,2.694
4.535,2.854,0.029,0.376,0.065,0.02,0.013,0.086,0.068,4.843,2.461
2.295,1.971,0.017,0.761,0.068,0.027,0.007,0.037,0.279,3.589,4.628
5.079,3.917,0.028,0.779,0.033,0.042,0.012,0.098,0.364,4.906,2.246
