length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
4.889,4.015,0.029,0.347,0.072,0.022,0.016,0.091,0.106,3.392,2.949
3.181,4.237,0.019,0.241,0.084,0.015,0.023,0.056,0.384,4.763,2.822
2.782,3.132,0.033,0.641,0.065,0.043,0.007,0.033,0.201,3.636,3.16
2.833,2.674,0.018,0.452,0.047,0.036,0.017,0.054,0.162,4.058,4.602
2.028,3.364,0.039,0.333,0.06,0.024,0.021,0.036,0.396,2.312,4.66
3.476,2.39,0.025,0.7,0.028,0.038,0.008,0.071,0.142,2.674,3.383
5.194,3.625,0.024,0.291,0.056,0.039,0.004,0.079,0.327,2.953,3.985
4.3,3.903,0.031,0.274,0.068,0.017,0.023,0.084,0.215,2.557,2.142
4.48,1.932,0.021,0.712,0.022,0.046,0.014,0.082,0.146,4.952,3.229
2.973,2.051,0.016,0.668,0.04,0.049,0.017,0.041,0.288,4.423,4.556
2.72,3.793,0.019,0.52,0.093,0.048,0.004,0.058,0.055,2.509,3.084
3.7,1.961,0.013,0.16,0.042,0.046,0.006,0.058,0.183,2.136,3.023
1.969,4.09,0.036,0.416,0.034,0.026,0.015,0.046,0.17,3.586,4.854
1.824,5.181,0.034,0.115,0.084,0.034,0.002,0.099,0.409,2.444,2.977
4.349,3.401,0.017,0.616,0.02,0.028,0.0,0.066,0.257,3.019,4.918
3.087,4.78,0.012,0.365,0.063,0.041,0.013,0.079,0.097,4.313,3.964
4.94,4.6,0.035,0.544,0.025,0.024,0.025,0.095,0.394,3.786,4.451
3.29,4.915,0.023,0.781,0.091,0.023,0.018,0.076,0.207,3.074,2.384
4.854,3.701,0.025,0.191,0.036,0.039,0.001,0.069,0.12,2.889,2.534
3.763,2.765,0.03,0.113,0.051,0.032,0.019,0.05,0.266,4.505,2.772
4.707,3.915,0.026,0.555,0.045,0.026,0.007,0.098,0.11,4.232,4.378
3.399,4.39,0.023,0.214,0.049,0.016,0.02,0.074,0.298,4.395,3.325
2.187,4.339,0.01,0.742,0.028,0.037,0.01,0.043,0.23,3.177,4.489
2.558,2.93,0.034,0.627,0.069,0.044,0.011,0.086,0.309,3.684,2.562
4.629,3.192,0.016,0.719,0.078,0.029,0.012,0.072,0.128,2.078,3.741
2.385,3.769,0.038,0.178,0.099,0.028,0.022,0.051,0.19,3.953,2.008
5.012,3.53,0.039,0.679,0.054,0.04,0.024,0.03,0.248,4.697,2.284
2.656,5.03,0.036,0.603,0.031,0.049,0.006,0.049,0.281,3.874,3.872
4.402,4.117,0.02,0.315,0.097,0.017,0.005,0.028,0.33,3.347,4.27
4.752,5.118,0.026,0.369,0.057,0.035,0.005,0.062,0.446,2.243,2.202
2.239,4.805,0.022,0.494,0.037,0.021,0.001,0.097,0.362,3.107,3.63
3.895,3.462,0.032,0.209,0.087,0.02,0.018,0.083,0.425,2.797,4.317
4.196,2.886,0.014,0.793,0.089,0.048,0.011,0.053,0.347,4.572,2.648
1.934,2.08,0.014,0.44,0.023,0.018,0.021,0.09,0.267,4.634,2.422
2.439,2.23,0.022,0.576,0.038,0.032,0.003,0.025,0.433,3.493,3.612
3.119,2.56,0.015,0.392,0.082,0.019,0.01,0.029,0.223,3.504,4.161
2.9,4.564,0.031,0.138,0.094,0.047,0.013,0.093,0.083,2.365,3.447
4.557,2.317,0.028,0.476,0.042,0.035,0.014,0.067,0.062,2.733,4.805
3.522,4.695,0.028,0.746,0.07,0.025,0.022,0.063,0.137,2.024,2.074
2.093,4.472,0.012,0.15,0.076,0.045,0.008,0.047,0.357,4.751,3.723
4.11,4.946,0.012,0.761,0.077,0.034,0.019,0.035,0.082,3.836,2.841
4.037,2.977,0.027,0.4,0.061,0.027,0.016,0.06,0.07,3.203,2.66
4.114,1.811,0.03,0.297,0.062,0.031,0.012,0.089,0.418,4.12,4.961
3.602,2.453,0.038,0.233,0.096,0.033,0.003,0.038,0.44,3.984,4.113
3.814,2.204,0.033,0.423,0.08,0.019,0.024,0.088,0.341,3.285,2.304
3.975,3.052,0.036,0.569,0.052,0.041,0.015,0.077,0.303,4.166,3.829
3.349,4.312,0.018,0.482,0.074,0.03,0.009,0.042,0.175,2.201,4.069
2.299,2.482,0.021,0.257,0.031,0.042,0.02,0.065,0.322,4.923,3.281
2.515,2.692,0.037,0.508,0.089,0.023,0.009,0.032,0.235,2.645,3.519
5.086,3.232,0.011,0.657,0.047,0.043,0.002,0.04,0.372,4.863,4.722
