length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
2.149,2.732,0.023,0.789,0.027,0.022,0.014,0.073,0.29,3.414,3.111
4.856,2.82,0.022,0.338,0.024,0.026,0.024,0.082,0.428,2.943,3.153
3.909,3.569,0.013,0.367,0.043,0.024,0.015,0.097,0.119,2.804,2.931
1.882,4.711,0.03,0.238,0.089,0.031,0.011,0.057,0.109,2.433,4.575
2.825,1.952,0.016,0.307,0.069,0.042,0.014,0.088,0.092,4.66,4.652
3.893,2.567,0.014,0.562,0.026,0.025,0.018,0.036,0.445,3.042,3.721
2.703,4.655,0.019,0.267,0.055,0.021,0.019,0.055,0.125,4.606,3.632
3.458,2.105,0.032,0.582,0.029,0.023,0.004,0.054,0.398,4.775,2.498
2.273,4.535,0.02,0.193,0.046,0.028,0.025,0.071,0.228,4.29,2.641
4.573,4.808,0.021,0.296,0.098,0.043,0.009,0.041,0.39,3.9,3.896
4.078,4.141,0.026,0.706,0.066,0.018,0.01,0.027,0.409,2.183,3.23
4.215,5.006,0.026,0.452,0.037,0.027,0.011,0.1,0.34,2.051,4.272
2.666,4.397,0.039,0.422,0.1,0.034,0.023,0.092,0.44,4.479,2.111
3.067,3.877,0.024,0.248,0.049,0.029,0.01,0.059,0.089,2.155,2.261
3.54,2.824,0.034,0.732,0.058,0.018,0.02,0.045,0.131,3.567,4.923
2.05,5.088,0.022,0.644,0.052,0.016,0.019,0.032,0.268,3.365,2.473
5.159,3.71,0.028,0.541,0.083,0.035,0.009,0.05,0.178,4.987,4.735
5.094,2.904,0.011,0.402,0.095,0.047,0.021,0.051,0.259,4.084,4.09
3.223,3.921,0.036,0.138,0.062,0.038,0.006,0.044,0.382,2.613,2.542
4.95,4.473,0.018,0.448,0.02,0.049,0.003,0.062,0.17,4.931,2.988
3.75,2.335,0.025,0.467,0.06,0.043,0.022,0.03,0.102,3.1,2.13
4.281,3.049,0.04,0.172,0.051,0.02,0.016,0.043,0.279,2.32,4.032
2.281,2.683,0.027,0.152,0.073,0.034,0.008,0.053,0.247,3.288,4.94
1.807,3.819,0.03,0.101,0.071,0.037,0.013,0.077,0.418,4.121,3.854
4.028,3.178,0.037,0.696,0.045,0.019,0.006,0.064,0.158,2.414,2.703
3.577,4.293,0.035,0.665,0.023,0.039,0.005,0.083,0.208,4.562,4.595
2.1,2.044,0.019,0.486,0.093,0.036,0.017,0.029,0.253,4.395,3.435
3.231,4.205,0.025,0.327,0.077,0.044,0.024,0.084,0.058,3.717,2.888
4.676,2.234,0.012,0.532,0.064,0.033,0.002,0.089,0.225,2.254,3.605
4.894,4.064,0.018,0.223,0.078,0.049,0.023,0.068,0.199,4.237,2.234
2.818,3.303,0.035,0.116,0.086,0.047,0.016,0.079,0.31,2.107,3.969
3.821,3.137,0.031,0.779,0.049,0.046,0.015,0.094,0.356,2.58,2.776
4.123,4.727,0.017,0.169,0.036,0.019,0.001,0.076,0.29,3.552,3.02
3.321,3.4,0.036,0.607,0.034,0.041,0.02,0.039,0.147,4.04,4.427
3.141,4.005,0.029,0.509,0.089,0.032,0.017,0.085,0.175,4.745,2.4
2.995,2.512,0.039,0.767,0.041,0.017,0.007,0.091,0.188,3.833,4.134
2.518,4.938,0.01,0.745,0.057,0.027,0.021,0.038,0.347,2.897,2.349
3.643,3.289,0.031,0.429,0.039,0.038,0.004,0.067,0.3,3.486,4.397
2.391,3.54,0.021,0.5,0.085,0.022,0.0,0.026,0.332,4.878,3.53
4.652,2.179,0.033,0.312,0.03,0.046,0.001,0.069,0.077,2.68,2.824
2.557,1.863,0.015,0.563,0.08,0.028,0.018,0.061,0.068,3.016,3.362
4.465,5.157,0.016,0.649,0.092,0.045,0.003,0.049,0.32,3.759,2.038
2.423,2.465,0.032,0.621,0.095,0.03,0.002,0.094,0.369,4.173,4.866
2.952,3.695,0.034,0.364,0.081,0.048,0.012,0.097,0.217,2.732,3.47
4.414,2.969,0.011,0.383,0.033,0.036,0.005,0.034,0.371,4.419,3.296
4.742,3.475,0.029,0.679,0.075,0.016,0.013,0.072,0.24,3.245,4.204
3.375,4.926,0.038,0.599,0.059,0.04,0.008,0.034,0.324,3.939,4.483
4.339,4.366,0.014,0.211,0.039,0.032,0.007,0.047,0.066,3.645,4.299
5.029,2.381,0.024,0.277,0.072,0.04,0.012,0.064,0.426,2.526,3.77
1.952,1.879,0.013,0.728,0.065,0.024,0.022,0.08,0.138,3.153,4.779
