length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
4.077,2.687,0.038,0.521,0.024,0.036,0.019,0.042,0.206,2.178,2.975
3.327,3.954,0.011,0.194,0.056,0.049,0.022,0.031,0.376,3.215,3.423
2.991,3.161,0.028,0.384,0.082,0.049,0.018,0.039,0.166,4.093,2.443
4.127,2.166,0.011,0.603,0.026,0.028,0.001,0.035,0.347,3.104,3.304
4.531,2.785,0.033,0.271,0.053,0.027,0.025,0.066,0.272,3.992,4.269
1.998,2.218,0.018,0.718,0.078,0.03,0.005,0.078,0.38,3.93,4.623
2.193,2.845,0.024,0.675,0.036,0.022,0.013,0.071,0.085,3.799,3.76
1.806,4.532,0.012,0.301,0.084,0.018,0.023,0.067,0.073,2.55,4.15
3.746,3.342,0.036,0.153,0.074,0.046,0.024,0.033,0.137,2.982,2.577
4.403,2.3,0.037,0.312,0.089,0.02,0.017,0.086,0.288,4.22,2.765
2.939,2.135,0.023,0.551,0.054,0.025,0.002,0.084,0.229,3.533,2.265
4.667,4.199,0.027,0.262,0.04,0.037,0.024,0.074,0.399,4.681,3.045
4.862,2.563,0.016,0.663,0.088,0.016,0.021,0.072,0.441,3.651,2.107
5.191,5.098,0.016,0.502,0.091,0.022,0.015,0.09,0.191,4.322,3.809
1.928,1.886,0.037,0.179,0.095,0.031,0.004,0.058,0.317,2.078,4.549
2.459,2.385,0.017,0.363,0.047,0.024,0.01,0.089,0.215,2.817,2.33
4.315,3.806,0.012,0.712,0.049,0.019,0.002,0.036,0.082,2.282,4.64
4.026,2.49,0.028,0.215,0.069,0.029,0.005,0.094,0.39,3.598,4.311
4.851,4.777,0.034,0.655,0.097,0.043,0.013,0.031,0.309,4.743,2.493
2.259,4.991,0.023,0.778,0.08,0.034,0.001,0.061,0.281,2.62,4.906
3.149,2.959,0.019,0.541,0.042,0.021,0.008,0.097,0.202,3.19,3.668
2.579,4.693,0.022,0.325,0.07,0.037,0.0,0.069,0.106,2.473,4.798
2.882,3.391,0.021,0.754,0.096,0.047,0.01,0.062,0.061,4.398,3.714
3.385,3.489,0.032,0.17,0.073,0.042,0.023,0.087,0.443,2.701,4.879
3.58,3.768,0.015,0.437,0.086,0.045,0.006,0.051,0.151,4.408,2.695
3.29,4.321,0.032,0.42,0.065,0.043,0.017,0.054,0.253,4.518,3.092
5.01,5.138,0.022,0.342,0.068,0.034,0.007,0.076,0.093,3.323,3.899
2.021,2.476,0.026,0.376,0.061,0.031,0.006,0.057,0.245,2.302,3.533
2.627,3.292,0.014,0.764,0.085,0.04,0.003,0.045,0.141,3.705,4.996
2.816,4.03,0.032,0.618,0.022,0.029,0.009,0.098,0.186,2.536,4.035
2.53,4.481,0.038,0.46,0.032,0.044,0.014,0.05,0.42,3.03,3.189
4.953,4.643,0.035,0.737,0.093,0.016,0.008,0.1,0.22,3.303,3.325
3.941,4.295,0.029,0.247,0.023,0.039,0.021,0.028,0.403,2.777,3.45
3.445,4.797,0.03,0.14,0.046,0.033,0.015,0.065,0.157,3.908,2.819
2.375,3.539,0.034,0.478,0.099,0.015,0.012,0.052,0.3,4.161,2.888
2.72,5.038,0.031,0.404,0.058,0.024,0.02,0.029,0.33,4.616,2.162
3.037,4.148,0.025,0.642,0.026,0.019,0.007,0.049,0.412,2.227,4.741
4.211,1.841,0.01,0.576,0.076,0.023,0.009,0.08,0.056,2.84,4.056
3.781,3.089,0.025,0.57,0.077,0.026,0.011,0.063,0.128,3.477,2.628
4.509,2.053,0.039,0.695,0.036,0.04,0.014,0.043,0.112,2.054,4.196
4.375,3.122,0.02,0.294,0.065,0.048,0.011,0.037,0.291,2.947,3.61
4.594,2.945,0.029,0.208,0.034,0.017,0.012,0.056,0.361,4.777,2.396
3.684,4.387,0.036,0.79,0.044,0.041,0.004,0.094,0.428,3.844,2.022
2.289,1.944,0.015,0.423,0.044,0.032,0.016,0.025,0.327,4.864,2.959
2.12,3.651,0.014,0.518,0.063,0.045,0.003,0.075,0.12,4.126,3.213
3.505,4.053,0.02,0.607,0.051,0.039,0.016,0.083,0.236,3.435,4.501
4.775,3.585,0.027,0.127,0.039,0.05,0.019,0.082,0.172,4.908,4.347
3.858,3.88,0.017,0.233,0.03,0.026,0.02,0.092,0.343,4.964,4.43
5.104,4.881,0.04,0.106,0.028,0.035,0.018,0.046,0.362,2.36,3.977
3.172,2.62,0.02,0.468,0.059,0.038,0.022,0.04,0.262,4.566,2.234
