length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
2.899,4.563,0.032,0.718,0.064,0.044,0.017,0.088,0.422,3.946,3.575
3.904,2.164,0.035,0.5,0.045,0.03,0.009,0.046,0.384,2.572,2.667
3.259,4.423,0.027,0.744,0.066,0.031,0.007,0.035,0.363,4.415,4.701
2.088,4.049,0.039,0.691,0.089,0.033,0.005,0.055,0.257,2.05,3.271
1.891,4.297,0.01,0.3,0.046,0.038,0.014,0.095,0.25,4.206,3.736
2.427,2.086,0.029,0.129,0.098,0.017,0.01,0.099,0.291,4.091,3.506
5.118,4.601,0.019,0.518,0.039,0.041,0.002,0.091,0.426,2.438,4.906
3.537,3.257,0.013,0.281,0.093,0.038,0.002,0.039,0.108,2.192,4.654
4.829,2.725,0.023,0.459,0.035,0.034,0.022,0.046,0.341,2.51,3.077
4.164,3.835,0.039,0.67,0.073,0.047,0.023,0.05,0.446,3.176,2.108
5.036,4.209,0.03,0.577,0.067,0.018,0.021,0.052,0.266,4.839,3.99
4.898,3.971,0.016,0.711,0.053,0.047,0.024,0.094,0.435,2.65,3.856
4.514,2.445,0.016,0.681,0.043,0.045,0.025,0.027,0.197,2.418,3.197
3.15,4.354,0.021,0.208,0.03,0.036,0.005,0.042,0.387,3.848,4.316
4.03,4.689,0.027,0.263,0.062,0.049,0.017,0.032,0.347,3.51,2.881
4.271,3.04,0.024,0.644,0.057,0.035,0.018,0.06,0.402,4.147,3.92
2.846,4.847,0.019,0.621,0.099,0.018,0.015,0.043,0.136,4.012,2.355
3.049,5.042,0.022,0.783,0.042,0.039,0.016,0.031,0.128,3.03,2.173
2.685,3.583,0.015,0.483,0.078,0.04,0.019,0.072,0.284,4.754,3.139
3.932,2.764,0.037,0.229,0.057,0.027,0.01,0.08,0.068,4.666,3.954
4.242,2.894,0.023,0.576,0.061,0.016,0.018,0.069,0.177,3.86,3.651
1.865,2.599,0.017,0.748,0.085,0.037,0.012,0.085,0.337,3.676,4.175
3.728,3.857,0.025,0.647,0.024,0.048,0.013,0.033,0.143,3.715,4.588
3.394,2.29,0.013,0.327,0.086,0.04,0.0,0.082,0.082,4.469,3.347
4.346,2.509,0.028,0.391,0.026,0.023,0.016,0.048,0.152,3.342,2.438
2.672,1.942,0.023,0.6,0.027,0.021,0.012,0.076,0.298,4.768,4.515
3.014,3.368,0.037,0.763,0.06,0.042,0.013,0.063,0.188,2.921,4.241
2.009,5.082,0.036,0.788,0.051,0.046,0.006,0.098,0.09,3.22,4.421
4.079,3.314,0.026,0.434,0.034,0.045,0.021,0.087,0.089,4.573,2.508
3.609,4.127,0.014,0.215,0.023,0.015,0.02,0.083,0.275,4.239,2.544
2.391,2.01,0.02,0.407,0.09,0.028,0.001,0.079,0.065,3.788,4.149
3.701,3.49,0.018,0.318,0.091,0.026,0.02,0.068,0.328,2.79,2.791
2.585,3.189,0.025,0.54,0.039,0.033,0.007,0.085,0.316,3.426,2.225
4.631,2.375,0.02,0.149,0.07,0.025,0.014,0.057,0.242,3.607,4.372
3.172,2.674,0.031,0.177,0.073,0.022,0.004,0.038,0.204,3.115,2.605
3.797,4.907,0.031,0.169,0.049,0.042,0.024,0.026,0.183,2.994,4.534
5.158,1.877,0.017,0.187,0.048,0.031,0.023,0.062,0.215,4.338,2.052
2.301,2.861,0.029,0.554,0.094,0.03,0.009,0.04,0.416,3.474,3.227
2.5,4.753,0.015,0.524,0.077,0.02,0.015,0.052,0.223,4.62,2.724
4.433,2.237,0.012,0.349,0.081,0.024,0.022,0.036,0.309,2.775,3.421
4.939,4.984,0.032,0.374,0.096,0.049,0.011,0.059,0.273,2.846,2.922
4.559,3.707,0.012,0.415,0.08,0.029,0.003,0.071,0.156,2.112,4.865
4.665,1.852,0.011,0.128,0.069,0.019,0.019,0.065,0.056,3.308,2.418
2.002,4.487,0.036,0.447,0.054,0.032,0.006,0.067,0.395,4.355,3.478
3.316,3.551,0.033,0.101,0.036,0.043,0.008,0.077,0.231,2.135,4.808
4.79,4.0,0.027,0.245,0.028,0.025,0.004,0.028,0.375,4.952,4.083
2.218,3.006,0.034,0.36,0.083,0.026,0.011,0.073,0.106,2.68,2.966
2.158,5.151,0.038,0.292,0.02,0.02,0.001,0.096,0.119,2.303,3.755
3.446,3.134,0.034,0.466,0.032,0.022,0.003,0.092,0.163,4.907,4.996
2.808,3.652,0.04,0.618,0.075,0.035,0.008,0.056,0.355,2.27,2.245
