length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
3.921,2.697,0.016,0.194,0.049,0.015,0.021,0.061,0.394,3.86,3.701
2.396,5.17,0.022,0.521,0.095,0.029,0.007,0.079,0.082,2.267,4.444
2.148,4.788,0.029,0.242,0.052,0.032,0.018,0.038,0.436,4.94,4.37
4.694,3.894,0.013,0.257,0.077,0.02,0.024,0.045,0.204,3.306,4.861
2.086,3.806,0.016,0.559,0.028,0.03,0.016,0.027,0.367,3.143,3.296
5.0,2.238,0.034,0.202,0.088,0.047,0.015,0.098,0.149,3.134,2.258
5.089,4.222,0.011,0.769,0.091,0.043,0.025,0.096,0.101,4.764,3.62
2.295,3.649,0.036,0.468,0.059,0.047,0.01,0.075,0.402,2.101,4.676
3.636,3.267,0.033,0.535,0.025,0.048,0.003,0.095,0.211,4.571,2.336
2.067,2.898,0.014,0.364,0.094,0.025,0.012,0.078,0.265,4.828,3.903
2.654,2.34,0.019,0.587,0.029,0.021,0.013,0.036,0.054,2.68,3.088
2.593,4.466,0.026,0.176,0.081,0.05,0.0,0.051,0.346,2.658,2.111
3.757,4.302,0.012,0.503,0.078,0.017,0.022,0.039,0.255,3.639,3.033
3.368,4.358,0.02,0.739,0.07,0.042,0.02,0.05,0.324,4.188,4.021
4.146,2.681,0.037,0.709,0.056,0.045,0.008,0.066,0.446,3.044,4.596
3.192,2.17,0.023,0.637,0.031,0.03,0.023,0.088,0.314,2.855,2.723
2.732,4.014,0.024,0.421,0.022,0.02,0.009,0.094,0.38,4.445,2.956
4.235,4.61,0.029,0.652,0.054,0.027,0.004,0.054,0.352,4.236,4.565
4.779,4.566,0.022,0.689,0.093,0.041,0.011,0.044,0.4,4.375,2.864
2.481,3.031,0.015,0.329,0.089,0.044,0.024,0.074,0.244,2.581,4.242
4.826,3.969,0.036,0.452,0.066,0.034,0.005,0.042,0.419,2.215,2.218
2.863,2.068,0.039,0.223,0.058,0.038,0.004,0.073,0.073,3.505,4.992
3.475,2.415,0.013,0.514,0.044,0.021,0.006,0.046,0.333,4.984,2.691
4.367,3.167,0.038,0.491,0.083,0.017,0.01,0.025,0.3,3.429,4.8
4.015,4.698,0.017,0.369,0.05,0.018,0.012,0.033,0.266,2.75,4.307
3.799,4.889,0.031,0.124,0.024,0.046,0.009,0.076,0.065,2.793,2.812
4.284,3.576,0.034,0.317,0.069,0.026,0.02,0.048,0.188,2.539,3.38
2.755,4.406,0.028,0.679,0.037,0.038,0.011,0.083,0.145,2.409,2.55
4.571,3.308,0.04,0.309,0.063,0.037,0.019,0.031,0.171,2.946,2.524
2.916,3.418,0.039,0.445,0.035,0.024,0.001,0.057,0.274,4.604,3.255
2.425,5.019,0.025,0.749,0.098,0.049,0.022,0.059,0.117,2.469,3.845
4.459,2.576,0.01,0.132,0.098,0.04,0.017,0.092,0.413,2.325,3.015
4.405,2.785,0.028,0.286,0.023,0.037,0.018,0.086,0.128,4.696,2.461
4.958,3.565,0.03,0.628,0.087,0.016,0.019,0.063,0.11,2.056,2.159
3.124,1.978,0.014,0.16,0.043,0.027,0.013,0.034,0.155,3.492,2.407
3.523,2.492,0.037,0.604,0.032,0.035,0.014,0.061,0.094,2.149,2.646
3.252,4.072,0.011,0.727,0.073,0.041,0.005,0.071,0.433,3.338,3.751
3.024,4.118,0.027,0.404,0.064,0.022,0.014,0.055,0.083,4.026,4.75
2.241,1.926,0.023,0.228,0.075,0.023,0.002,0.065,0.294,4.334,2.058
1.958,3.011,0.03,0.386,0.061,0.042,0.008,0.029,0.2,4.133,4.511
5.181,1.818,0.032,0.431,0.04,0.039,0.021,0.068,0.179,3.934,3.164
4.891,3.465,0.018,0.666,0.079,0.035,0.002,0.041,0.219,3.74,4.928
3.299,2.368,0.025,0.779,0.039,0.028,0.016,0.1,0.134,3.563,3.376
1.865,4.989,0.026,0.339,0.068,0.031,0.006,0.084,0.356,3.853,4.191
3.033,5.108,0.019,0.57,0.073,0.029,0.017,0.053,0.311,3.791,4.136
3.88,2.872,0.033,0.146,0.046,0.046,0.015,0.069,0.287,4.732,3.61
1.879,3.748,0.035,0.101,0.042,0.033,0.007,0.032,0.229,3.236,3.939
4.11,3.097,0.021,0.794,0.085,0.025,0.003,0.09,0.241,4.079,3.531
3.68,2.133,0.017,0.616,0.052,0.019,0.001,0.088,0.378,4.491,4.072
4.627,4.86,0.02,0.275,0.034,0.034,0.023,0.081,0.165,2.971,3.454
