length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
3.367,3.214,0.035,0.77,0.024,0.021,0.016,0.048,0.399,3.323,4.23
4.157,2.917,0.016,0.116,0.059,0.046,0.012,0.074,0.147,4.986,4.049
4.635,2.958,0.025,0.263,0.098,0.05,0.005,0.079,0.065,2.225,3.868
2.031,4.774,0.032,0.504,0.055,0.016,0.01,0.072,0.228,2.34,2.591
2.177,4.082,0.012,0.613,0.046,0.027,0.0,0.084,0.218,2.492,2.309
3.31,4.557,0.02,0.526,0.022,0.033,0.021,0.095,0.131,2.907,4.615
2.423,2.185,0.028,0.274,0.045,0.049,0.021,0.041,0.053,2.799,2.389
2.108,1.901,0.022,0.322,0.069,0.024,0.002,0.077,0.072,3.489,2.871
2.32,2.677,0.026,0.439,0.092,0.043,0.013,0.059,0.348,2.628,4.699
5.199,3.405,0.014,0.475,0.064,0.042,0.02,0.092,0.335,4.625,4.53
1.838,3.565,0.037,0.18,0.076,0.018,0.005,0.042,0.416,4.493,3.403
4.726,4.591,0.013,0.375,0.039,0.028,0.007,0.088,0.391,3.636,2.915
2.382,3.442,0.015,0.577,0.077,0.021,0.007,0.033,0.446,4.323,3.805
4.665,2.243,0.021,0.109,0.071,0.02,0.012,0.064,0.106,2.048,4.893
3.759,4.914,0.033,0.35,0.066,0.037,0.017,0.026,0.403,3.972,2.129
2.645,4.494,0.012,0.43,0.032,0.028,0.02,0.086,0.339,2.775,4.994
4.794,2.706,0.026,0.646,0.037,0.046,0.006,0.051,0.207,4.72,3.545
5.018,3.063,0.025,0.644,0.084,0.036,0.024,0.05,0.081,3.768,2.098
4.921,5.108,0.03,0.355,0.099,0.044,0.009,0.047,0.25,4.653,4.797
3.059,4.963,0.011,0.546,0.04,0.018,0.011,0.044,0.371,2.11,3.57
3.963,2.851,0.03,0.457,0.095,0.04,0.013,0.09,0.281,4.403,4.729
3.006,2.07,0.036,0.227,0.088,0.021,0.016,0.065,0.419,3.058,3.674
4.401,1.817,0.024,0.385,0.079,0.043,0.023,0.081,0.158,4.065,3.096
4.378,3.621,0.038,0.242,0.035,0.034,0.008,0.057,0.282,2.555,3.281
2.521,4.422,0.033,0.136,0.072,0.03,0.008,0.056,0.118,3.903,2.837
4.511,3.298,0.019,0.63,0.029,0.034,0.009,0.075,0.262,2.147,4.1
1.902,4.719,0.031,0.776,0.095,0.038,0.019,0.097,0.429,3.279,4.846
2.718,3.971,0.01,0.286,0.057,0.032,0.001,0.027,0.125,3.206,4.37
2.241,3.753,0.015,0.407,0.061,0.038,0.003,0.093,0.319,3.849,2.698
3.906,4.33,0.013,0.165,0.049,0.041,0.025,0.096,0.172,2.718,4.186
3.131,2.084,0.021,0.52,0.027,0.048,0.014,0.083,0.114,4.773,4.034
4.957,3.979,0.023,0.198,0.074,0.047,0.002,0.031,0.363,3.115,3.787
3.511,2.281,0.023,0.217,0.051,0.019,0.018,0.071,0.141,4.35,2.287
2.885,4.277,0.02,0.797,0.03,0.04,0.022,0.068,0.181,4.242,2.193
3.493,3.858,0.039,0.413,0.067,0.023,0.023,0.061,0.293,3.176,3.159
1.986,2.581,0.017,0.309,0.021,0.035,0.018,0.029,0.167,2.435,2.751
3.172,5.057,0.029,0.156,0.062,0.032,0.024,0.039,0.202,2.879,3.469
3.699,2.766,0.017,0.209,0.056,0.015,0.004,0.037,0.25,3.531,3.03
2.557,3.277,0.027,0.488,0.042,0.029,0.003,0.045,0.087,4.924,2.617
4.311,2.407,0.015,0.687,0.081,0.022,0.006,0.087,0.302,4.148,4.443
3.607,5.196,0.033,0.571,0.043,0.039,0.001,0.034,0.36,4.18,4.467
5.095,4.804,0.031,0.706,0.079,0.024,0.015,0.066,0.21,4.83,2.023
4.222,1.973,0.028,0.669,0.049,0.017,0.019,0.069,0.307,2.278,3.692
2.954,4.159,0.034,0.735,0.025,0.025,0.015,0.037,0.266,3.736,2.489
2.775,3.642,0.018,0.332,0.093,0.03,0.022,0.055,0.187,2.387,3.216
3.831,4.217,0.04,0.716,0.085,0.031,0.004,0.031,0.384,3.39,2.967
4.055,2.478,0.019,0.591,0.089,0.026,0.01,0.062,0.441,3.009,3.324
3.28,2.517,0.035,0.701,0.052,0.037,0.011,0.079,0.092,4.539,2.474
4.034,3.787,0.037,0.556,0.087,0.047,0.017,0.053,0.235,3.607,3.956
4.546,3.13,0.038,0.756,0.034,0.045,0.014,0.1,0.328,3.98,4.331
