length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
3.191,2.185,0.012,0.529,0.089,0.023,0.023,0.053,0.325,4.633,3.857
2.966,3.431,0.027,0.116,0.094,0.043,0.001,0.096,0.159,3.642,3.193
1.991,3.33,0.022,0.134,0.028,0.047,0.024,0.029,0.301,4.081,2.815
3.372,3.877,0.026,0.604,0.048,0.037,0.004,0.055,0.251,4.396,2.188
4.872,3.031,0.04,0.251,0.092,0.02,0.002,0.045,0.244,3.262,4.631
2.667,4.531,0.024,0.684,0.098,0.038,0.013,0.042,0.125,2.561,4.304
2.806,3.605,0.021,0.451,0.083,0.033,0.007,0.083,0.119,3.588,3.728
2.713,4.703,0.037,0.424,0.034,0.038,0.012,0.057,0.364,3.508,4.43
3.264,4.212,0.025,0.647,0.05,0.028,0.011,0.076,0.153,2.376,4.171
4.574,3.435,0.027,0.769,0.055,0.05,0.024,0.059,0.268,2.452,3.133
4.48,4.386,0.034,0.409,0.031,0.022,0.003,0.036,0.206,4.828,2.438
2.517,4.638,0.035,0.466,0.057,0.035,0.015,0.035,0.102,3.495,2.265
1.804,2.864,0.032,0.377,0.084,0.034,0.022,0.09,0.311,2.955,4.109
3.031,3.258,0.013,0.671,0.072,0.044,0.019,0.034,0.375,3.426,2.718
4.978,2.69,0.01,0.294,0.062,0.024,0.0,0.093,0.068,4.908,2.006
2.833,1.827,0.017,0.709,0.038,0.021,0.021,0.064,0.414,3.024,3.354
2.157,3.756,0.032,0.49,0.087,0.024,0.019,0.085,0.139,4.571,4.508
4.289,3.14,0.016,0.182,0.088,0.018,0.018,0.026,0.191,3.736,3.9
4.816,4.256,0.039,0.692,0.069,0.048,0.021,0.092,0.051,2.225,3.041
2.474,3.207,0.037,0.495,0.034,0.015,0.006,0.048,0.166,4.447,3.763
3.514,2.44,0.019,0.727,0.026,0.018,0.017,0.065,0.292,3.358,4.943
2.116,2.794,0.033,0.623,0.022,0.035,0.013,0.1,0.081,2.095,2.64
3.599,3.686,0.031,0.745,0.031,0.042,0.01,0.055,0.179,4.274,4.709
2.009,4.37,0.033,0.566,0.077,0.048,0.01,0.031,0.436,4.157,3.257
4.689,2.571,0.014,0.23,0.059,0.016,0.02,0.077,0.289,4.679,4.348
2.579,2.001,0.036,0.634,0.044,0.029,0.003,0.062,0.111,2.318,3.484
3.335,3.987,0.024,0.441,0.08,0.034,0.022,0.06,0.062,2.632,2.157
3.862,2.683,0.03,0.281,0.079,0.021,0.006,0.051,0.382,3.993,3.938
5.13,4.514,0.025,0.102,0.095,0.03,0.023,0.028,0.216,2.789,2.503
4.735,2.371,0.011,0.166,0.04,0.04,0.008,0.047,0.352,2.518,3.402
3.82,4.123,0.02,0.514,0.021,0.049,0.016,0.066,0.23,3.866,4.55
4.618,4.98,0.03,0.541,0.066,0.032,0.02,0.088,0.354,3.106,2.552
3.459,3.929,0.031,0.313,0.067,0.045,0.025,0.073,0.42,2.286,4.817
3.097,2.249,0.036,0.774,0.046,0.043,0.017,0.07,0.086,4.815,4.029
4.374,2.897,0.038,0.297,0.029,0.026,0.001,0.039,0.242,3.016,2.895
4.149,4.832,0.029,0.225,0.091,0.046,0.007,0.079,0.222,3.255,2.114
4.088,3.527,0.018,0.55,0.07,0.039,0.004,0.069,0.45,3.144,4.245
4.041,1.876,0.017,0.73,0.1,0.017,0.014,0.078,0.393,2.857,3.279
5.159,2.516,0.015,0.187,0.056,0.029,0.011,0.049,0.342,3.818,2.35
2.927,3.787,0.038,0.789,0.044,0.027,0.012,0.081,0.396,3.961,3.015
3.652,2.34,0.019,0.156,0.076,0.025,0.002,0.089,0.275,2.123,3.635
4.224,2.109,0.023,0.582,0.024,0.019,0.005,0.03,0.405,4.299,2.731
5.03,3.007,0.012,0.392,0.061,0.026,0.015,0.084,0.264,4.709,4.648
2.246,5.07,0.021,0.329,0.037,0.042,0.005,0.067,0.093,2.028,2.916
3.745,5.178,0.012,0.347,0.064,0.02,0.018,0.072,0.331,3.769,4.863
1.872,4.054,0.016,0.352,0.073,0.04,0.009,0.038,0.171,4.963,4.937
2.377,4.755,0.02,0.199,0.041,0.036,0.014,0.095,0.316,2.69,4.076
3.925,5.04,0.028,0.599,0.082,0.031,0.008,0.098,0.137,4.201,2.368
4.421,2.046,0.014,0.403,0.053,0.045,0.016,0.04,0.433,4.487,3.531
2.343,4.911,0.028,0.256,0.049,0.032,0.009,0.044,0.2,2.768,3.567
