length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
3.614,2.549,0.022,0.159,0.051,0.043,0.022,0.074,0.185,2.631,3.726
3.415,4.643,0.037,0.173,0.058,0.026,0.02,0.057,0.149,3.805,3.611
2.795,2.393,0.016,0.265,0.069,0.041,0.003,0.066,0.293,3.547,3.852
2.526,3.425,0.036,0.682,0.03,0.017,0.013,0.078,0.316,3.741,3.973
3.27,2.242,0.035,0.404,0.088,0.043,0.009,0.059,0.245,4.598,2.525
1.893,3.222,0.033,0.514,0.079,0.04,0.005,0.033,0.119,4.551,2.776
4.607,3.478,0.025,0.69,0.022,0.045,0.001,0.026,0.225,4.389,3.9
2.332,3.672,0.029,0.482,0.042,0.025,0.003,0.097,0.253,2.885,3.773
2.197,3.334,0.023,0.601,0.074,0.047,0.023,0.072,0.358,2.501,4.502
3.561,5.143,0.01,0.521,0.056,0.046,0.002,0.051,0.082,4.722,2.834
3.326,3.814,0.021,0.537,0.075,0.038,0.024,0.091,0.109,2.945,4.906
3.101,3.883,0.032,0.128,0.047,0.029,0.019,0.03,0.284,4.224,2.435
1.975,3.583,0.03,0.421,0.063,0.042,0.008,0.036,0.331,2.578,2.021
2.931,5.076,0.029,0.213,0.064,0.018,0.017,0.041,0.381,3.158,3.114
4.238,5.047,0.027,0.11,0.053,0.019,0.01,0.064,0.364,2.15,2.707
5.07,1.918,0.014,0.188,0.085,0.049,0.004,0.04,0.24,2.668,4.067
3.779,2.692,0.031,0.239,0.048,0.039,0.006,0.065,0.156,2.303,4.249
3.057,2.76,0.018,0.732,0.086,0.015,0.012,0.035,0.105,3.625,3.316
3.224,2.207,0.019,0.44,0.084,0.03,0.012,0.049,0.375,4.171,3.202
3.456,2.108,0.033,0.376,0.049,0.028,0.006,0.084,0.124,4.134,4.612
4.945,2.43,0.038,0.143,0.071,0.032,0.01,0.055,0.059,4.313,3.992
4.412,3.561,0.035,0.71,0.09,0.037,0.021,0.044,0.274,4.494,3.167
4.343,4.796,0.023,0.781,0.043,0.044,0.016,0.081,0.177,4.458,4.168
2.708,4.729,0.016,0.559,0.028,0.016,0.02,0.07,0.163,3.352,2.406
4.178,2.652,0.025,0.305,0.094,0.05,0.023,0.048,0.408,3.048,4.144
4.772,3.769,0.013,0.354,0.081,0.022,0.013,0.06,0.309,3.133,4.291
3.685,3.135,0.033,0.794,0.092,0.023,0.011,0.083,0.387,2.369,3.411
3.886,4.532,0.031,0.578,0.039,0.034,0.018,0.054,0.207,4.798,2.939
3.991,2.883,0.028,0.637,0.098,0.025,0.0,0.046,0.428,3.303,3.068
4.312,2.314,0.011,0.622,0.027,0.049,0.015,0.075,0.191,3.607,4.416
5.146,4.305,0.017,0.498,0.092,0.032,0.022,0.086,0.141,4.665,2.278
5.042,4.219,0.027,0.21,0.08,0.017,0.001,0.029,0.26,2.796,4.552
2.362,4.977,0.028,0.771,0.034,0.02,0.009,0.088,0.267,4.02,2.145
2.27,3.058,0.012,0.757,0.061,0.031,0.007,0.069,0.228,2.023,3.458
2.86,1.836,0.015,0.455,0.059,0.035,0.024,0.08,0.446,4.912,2.317
4.537,4.322,0.02,0.653,0.032,0.035,0.011,0.043,0.396,3.492,4.79
2.073,4.664,0.018,0.475,0.026,0.024,0.021,0.096,0.05,2.273,4.715
3.92,2.068,0.038,0.663,0.072,0.041,0.007,0.046,0.425,3.951,3.624
4.478,3.938,0.034,0.393,0.024,0.037,0.017,0.091,0.347,2.442,3.526
3.732,2.508,0.013,0.245,0.055,0.033,0.004,0.076,0.095,3.228,4.876
1.833,4.499,0.02,0.295,0.021,0.03,0.025,0.038,0.414,3.709,4.968
4.658,3.295,0.039,0.277,0.045,0.027,0.018,0.031,0.075,4.943,2.63
3.014,4.108,0.022,0.331,0.037,0.039,0.019,0.094,0.44,4.822,4.344
4.905,4.119,0.04,0.725,0.077,0.027,0.016,0.067,0.304,2.733,2.892
4.08,1.995,0.037,0.566,0.096,0.023,0.002,0.027,0.322,3.892,2.568
2.468,4.915,0.024,0.342,0.035,0.046,0.005,0.089,0.343,3.384,2.11
4.838,2.963,0.014,0.134,0.099,0.02,0.008,0.093,0.071,2.088,2.987
2.029,2.945,0.012,0.617,0.066,0.021,0.015,0.053,0.211,4.073,3.375
2.682,4.417,0.026,0.323,0.067,0.047,0.014,0.062,0.202,3.016,2.219
2.59,4.025,0.017,0.432,0.04,0.034,0.014,0.1,0.133,2.207,4.661
