length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
4.99,3.552,0.039,0.19,0.037,0.048,0.016,0.1,0.148,4.393,2.697
3.465,2.587,0.033,0.468,0.05,0.025,0.014,0.082,0.432,2.12,2.242
3.82,3.479,0.021,0.596,0.048,0.03,0.002,0.087,0.255,2.295,4.66
4.117,5.05,0.024,0.418,0.08,0.018,0.003,0.076,0.341,2.559,2.611
2.995,3.38,0.037,0.617,0.059,0.028,0.009,0.038,0.276,4.022,4.828
3.413,2.782,0.021,0.679,0.077,0.037,0.0,0.096,0.245,3.565,3.488
4.19,1.857,0.013,0.707,0.091,0.02,0.005,0.058,0.138,4.678,4.215
2.195,3.621,0.014,0.7,0.024,0.017,0.013,0.064,0.124,2.527,2.507
1.956,2.476,0.017,0.753,0.029,0.027,0.017,0.057,0.302,2.948,2.57
2.607,3.739,0.016,0.551,0.027,0.037,0.022,0.047,0.22,4.797,4.077
3.574,4.901,0.019,0.655,0.053,0.023,0.001,0.072,0.157,3.395,3.563
3.035,3.993,0.034,0.579,0.095,0.021,0.02,0.064,0.077,3.061,3.163
4.004,3.289,0.034,0.305,0.049,0.043,0.012,0.066,0.367,3.16,2.76
2.807,3.165,0.031,0.252,0.076,0.041,0.003,0.048,0.067,3.732,4.555
4.815,4.052,0.029,0.182,0.09,0.043,0.018,0.062,0.401,3.274,2.364
3.871,3.839,0.023,0.78,0.087,0.017,0.02,0.044,0.352,2.318,2.162
4.495,3.856,0.033,0.117,0.056,0.019,0.019,0.067,0.109,4.582,3.32
2.933,4.74,0.029,0.764,0.065,0.044,0.008,0.035,0.39,4.42,4.321
4.406,4.342,0.013,0.667,0.062,0.031,0.013,0.045,0.117,2.217,3.539
1.819,4.311,0.026,0.354,0.092,0.016,0.014,0.069,0.231,3.784,2.937
2.095,2.401,0.028,0.483,0.099,0.046,0.01,0.089,0.103,4.546,4.143
2.692,4.234,0.015,0.644,0.057,0.04,0.006,0.056,0.213,3.506,3.908
2.452,2.636,0.011,0.108,0.081,0.04,0.006,0.06,0.421,4.058,4.729
3.545,2.042,0.018,0.573,0.033,0.039,0.019,0.036,0.416,3.004,3.788
4.615,4.623,0.038,0.461,0.025,0.015,0.024,0.073,0.091,2.15,3.043
3.19,2.535,0.027,0.213,0.02,0.026,0.004,0.028,0.377,3.912,4.412
2.007,1.901,0.026,0.261,0.07,0.035,0.023,0.032,0.083,3.83,4.901
3.107,1.961,0.017,0.736,0.063,0.046,0.004,0.05,0.236,4.887,2.466
5.061,5.173,0.037,0.206,0.031,0.029,0.002,0.039,0.274,2.784,3.12
2.227,2.956,0.036,0.399,0.043,0.019,0.008,0.071,0.445,2.898,2.07
2.656,3.075,0.022,0.441,0.087,0.034,0.016,0.094,0.196,3.224,2.186
5.084,3.14,0.01,0.63,0.039,0.032,0.015,0.086,0.191,2.612,2.002
2.882,3.359,0.03,0.499,0.055,0.05,0.012,0.079,0.29,4.103,2.995
5.168,4.501,0.02,0.391,0.072,0.023,0.009,0.081,0.289,2.727,3.973
3.282,5.083,0.024,0.518,0.065,0.033,0.01,0.053,0.058,4.953,4.378
4.711,4.937,0.016,0.329,0.034,0.022,0.011,0.026,0.265,4.756,4.484
4.742,3.933,0.031,0.796,0.079,0.048,0.021,0.029,0.403,2.051,3.668
2.499,2.181,0.019,0.534,0.041,0.027,0.018,0.08,0.437,4.259,3.405
4.27,2.969,0.025,0.343,0.084,0.029,0.024,0.052,0.052,3.118,3.71
2.381,2.262,0.023,0.293,0.022,0.047,0.022,0.034,0.332,4.178,2.337
4.554,4.425,0.035,0.722,0.069,0.038,0.007,0.091,0.319,3.978,3.358
3.921,4.814,0.011,0.435,0.096,0.036,0.021,0.075,0.146,2.409,2.793
2.341,2.743,0.036,0.16,0.045,0.044,0.005,0.084,0.359,3.488,3.26
4.91,4.661,0.039,0.134,0.073,0.042,0.001,0.042,0.385,4.85,4.624
3.304,2.829,0.014,0.235,0.046,0.049,0.011,0.03,0.185,2.474,3.997
4.108,4.139,0.032,0.147,0.097,0.031,0.017,0.098,0.167,3.338,2.853
3.696,2.322,0.025,0.377,0.084,0.025,0.007,0.095,0.311,4.468,3.83
1.912,4.535,0.012,0.532,0.035,0.038,0.023,0.054,0.176,2.672,4.798
3.76,2.097,0.028,0.323,0.066,0.034,0.015,0.092,0.33,4.293,4.995
4.381,3.638,0.04,0.269,0.039,0.021,0.025,0.041,0.209,3.679,4.229
