length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
2.287,3.217,0.025,0.557,0.079,0.027,0.009,0.027,0.156,4.879,3.665
4.683,2.27,0.012,0.312,0.033,0.037,0.001,0.079,0.329,3.55,3.052
5.025,4.353,0.026,0.201,0.063,0.038,0.011,0.06,0.215,2.961,2.806
2.6,5.019,0.023,0.751,0.066,0.04,0.0,0.033,0.302,3.793,3.085
2.411,4.227,0.031,0.291,0.045,0.034,0.007,0.057,0.379,2.339,4.607
3.058,5.131,0.04,0.673,0.029,0.046,0.006,0.053,0.421,3.209,4.435
4.137,3.397,0.038,0.195,0.082,0.017,0.025,0.055,0.316,4.183,3.185
4.966,4.553,0.031,0.53,0.091,0.028,0.011,0.087,0.265,3.665,2.666
4.83,3.754,0.038,0.36,0.056,0.049,0.022,0.094,0.268,4.884,2.995
4.883,4.257,0.019,0.607,0.099,0.017,0.004,0.034,0.153,3.475,3.939
3.309,3.285,0.03,0.177,0.085,0.026,0.006,0.08,0.232,3.718,2.614
3.273,4.054,0.018,0.761,0.095,0.023,0.015,0.047,0.358,3.957,4.694
4.517,2.964,0.036,0.34,0.089,0.015,0.014,0.063,0.341,4.76,3.462
3.126,4.466,0.035,0.398,0.051,0.027,0.012,0.097,0.367,3.916,3.823
1.875,2.848,0.013,0.708,0.077,0.042,0.005,0.076,0.19,4.306,2.594
2.539,4.868,0.021,0.385,0.075,0.018,0.007,0.05,0.097,3.126,4.927
3.225,1.908,0.032,0.157,0.067,0.021,0.017,0.054,0.235,4.52,3.255
2.722,4.93,0.02,0.439,0.096,0.032,0.022,0.059,0.143,4.135,4.462
4.787,4.411,0.017,0.565,0.028,0.022,0.01,0.064,0.198,4.009,2.197
4.098,3.036,0.02,0.231,0.059,0.031,0.024,0.041,0.244,4.449,3.416
3.596,4.177,0.01,0.308,0.026,0.029,0.021,0.082,0.208,4.627,2.139
3.929,1.84,0.023,0.653,0.042,0.043,0.023,0.044,0.45,2.712,4.152
2.051,2.19,0.024,0.326,0.097,0.048,0.003,0.072,0.405,3.617,3.775
1.815,2.725,0.014,0.419,0.057,0.024,0.014,0.038,0.184,4.794,4.179
3.815,2.347,0.014,0.374,0.08,0.05,0.004,0.085,0.347,3.197,4.78
3.653,3.35,0.027,0.481,0.024,0.047,0.018,0.076,0.05,3.061,4.371
2.183,4.6,0.017,0.62,0.05,0.033,0.008,0.037,0.118,4.68,2.301
3.523,3.505,0.024,0.105,0.035,0.03,0.019,0.03,0.128,2.427,4.317
2.78,2.552,0.039,0.546,0.02,0.043,0.005,0.062,0.431,2.487,4.244
1.982,3.89,0.015,0.785,0.031,0.041,0.015,0.067,0.389,2.895,4.858
3.408,5.172,0.034,0.594,0.094,0.04,0.016,0.085,0.081,2.773,2.532
3.476,2.12,0.025,0.684,0.037,0.02,0.024,0.092,0.295,4.234,2.926
2.097,4.682,0.028,0.26,0.07,0.039,0.012,0.066,0.336,2.554,4.719
4.253,4.025,0.011,0.638,0.023,0.025,0.002,0.089,0.069,2.269,3.336
3.016,2.302,0.011,0.729,0.038,0.034,0.02,0.043,0.089,4.364,2.426
2.823,2.929,0.028,0.245,0.033,0.036,0.023,0.074,0.222,3.384,4.963
2.445,2.48,0.037,0.154,0.069,0.019,0.001,0.083,0.41,4.513,3.503
2.675,3.631,0.033,0.116,0.088,0.019,0.003,0.046,0.176,2.792,2.745
2.225,4.789,0.033,0.268,0.052,0.035,0.017,0.099,0.099,2.029,2.263
4.349,2.068,0.016,0.513,0.046,0.048,0.009,0.051,0.399,2.957,4.001
5.14,4.829,0.036,0.583,0.044,0.029,0.008,0.039,0.374,2.368,3.266
3.87,2.673,0.015,0.461,0.072,0.025,0.002,0.069,0.255,2.617,3.737
5.078,3.097,0.037,0.496,0.073,0.039,0.021,0.071,0.134,2.096,3.917
4.589,1.956,0.033,0.738,0.04,0.023,0.013,0.09,0.306,2.239,2.372
4.011,3.964,0.029,0.796,0.064,0.045,0.016,0.048,0.29,3.852,2.086
4.413,2.785,0.022,0.217,0.054,0.016,0.018,0.098,0.169,2.142,4.053
4.195,3.445,0.013,0.422,0.048,0.031,0.013,0.094,0.276,3.332,2.854
3.709,3.819,0.026,0.137,0.086,0.045,0.019,0.032,0.058,4.083,2.013
4.564,3.662,0.02,0.701,0.061,0.044,0.02,0.026,0.113,4.958,4.522
2.948,2.468,0.029,0.472,0.083,0.036,0.01,0.028,0.439,3.313,3.611
