length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
3.181,2.221,0.027,0.533,0.038,0.047,0.02,0.059,0.39,3.801,2.493
4.055,2.17,0.011,0.114,0.086,0.045,0.015,0.051,0.25,4.26,2.665
5.168,3.23,0.035,0.285,0.096,0.045,0.023,0.097,0.44,3.28,3.195
4.775,3.068,0.022,0.362,0.072,0.039,0.021,0.038,0.111,4.586,2.115
3.39,3.136,0.018,0.159,0.031,0.015,0.002,0.082,0.277,2.64,4.469
3.812,4.189,0.029,0.571,0.059,0.016,0.017,0.027,0.104,3.665,3.897
1.863,4.541,0.023,0.555,0.097,0.05,0.011,0.095,0.24,2.168,4.564
3.955,3.809,0.028,0.147,0.025,0.046,0.005,0.029,0.382,4.48,3.008
4.456,2.004,0.034,0.498,0.099,0.041,0.012,0.06,0.424,2.087,4.31
2.67,1.89,0.039,0.25,0.045,0.027,0.025,0.093,0.116,3.199,2.887
5.005,4.066,0.032,0.384,0.051,0.04,0.006,0.039,0.397,2.785,4.002
4.413,3.907,0.02,0.438,0.057,0.038,0.005,0.072,0.136,3.333,2.21
3.665,5.198,0.021,0.22,0.081,0.022,0.018,0.076,0.161,4.988,3.477
4.848,3.436,0.025,0.188,0.037,0.03,0.014,0.049,0.179,2.994,3.571
4.213,2.514,0.023,0.403,0.07,0.034,0.022,0.067,0.324,2.518,4.247
4.374,2.893,0.038,0.731,0.044,0.029,0.001,0.078,0.347,4.336,4.434
4.007,2.308,0.03,0.612,0.06,0.037,0.009,0.089,0.29,2.465,2.586
2.58,3.192,0.024,0.135,0.091,0.018,0.0,0.096,0.085,2.323,4.147
4.962,4.355,0.035,0.372,0.068,0.043,0.009,0.079,0.209,4.004,4.182
4.62,2.762,0.025,0.256,0.078,0.023,0.004,0.043,0.231,3.923,3.747
2.411,2.416,0.018,0.591,0.027,0.039,0.003,0.09,0.19,4.548,2.356
3.135,2.846,0.024,0.176,0.022,0.021,0.012,0.1,0.249,2.918,3.284
4.287,4.733,0.033,0.317,0.053,0.025,0.007,0.058,0.266,4.689,2.817
5.068,4.427,0.02,0.458,0.064,0.024,0.013,0.036,0.14,2.599,2.16
4.684,2.668,0.014,0.679,0.049,0.031,0.011,0.047,0.215,3.551,4.803
3.503,4.518,0.019,0.472,0.092,0.028,0.008,0.041,0.301,4.761,3.851
1.916,2.975,0.039,0.776,0.033,0.049,0.015,0.085,0.334,2.409,2.244
2.735,3.641,0.017,0.234,0.041,0.019,0.017,0.091,0.356,2.743,4.684
3.596,3.734,0.013,0.299,0.04,0.042,0.003,0.034,0.081,4.344,3.128
2.881,4.628,0.038,0.544,0.081,0.019,0.001,0.055,0.201,4.838,4.7
3.053,3.962,0.011,0.759,0.063,0.037,0.018,0.085,0.413,4.182,3.379
4.867,4.259,0.012,0.652,0.048,0.027,0.022,0.087,0.149,4.758,3.977
3.457,4.153,0.015,0.726,0.068,0.033,0.01,0.031,0.364,2.053,2.046
3.292,2.395,0.026,0.435,0.089,0.035,0.008,0.05,0.259,3.106,4.843
2.234,4.889,0.031,0.579,0.046,0.031,0.021,0.073,0.318,3.896,4.944
2.989,1.829,0.014,0.621,0.029,0.041,0.014,0.065,0.282,2.225,3.06
3.846,5.103,0.036,0.792,0.083,0.044,0.002,0.075,0.125,4.063,4.356
3.326,2.611,0.01,0.201,0.055,0.034,0.006,0.071,0.176,3.768,2.414
1.995,3.603,0.039,0.49,0.074,0.018,0.016,0.045,0.339,3.039,3.414
2.148,1.953,0.016,0.12,0.035,0.048,0.007,0.035,0.377,3.203,2.606
4.54,3.362,0.037,0.672,0.032,0.021,0.02,0.062,0.403,4.451,3.622
2.76,4.814,0.033,0.329,0.077,0.032,0.019,0.081,0.057,4.93,3.542
4.171,5.016,0.027,0.511,0.065,0.025,0.024,0.068,0.058,3.714,4.085
3.726,2.137,0.016,0.413,0.088,0.017,0.013,0.063,0.307,2.255,3.693
2.086,3.379,0.028,0.708,0.085,0.035,0.024,0.052,0.163,3.404,4.933
2.931,4.963,0.031,0.636,0.094,0.048,0.004,0.026,0.091,4.106,3.202
2.42,3.564,0.033,0.7,0.021,0.02,0.01,0.043,0.428,3.441,2.477
2.313,4.702,0.029,0.351,0.023,0.043,0.016,0.07,0.446,2.702,4.593
2.07,4.007,0.019,0.273,0.076,0.026,0.023,0.032,0.07,2.875,2.775
2.518,2.712,0.014,0.756,0.056,0.029,0.019,0.056,0.226,3.597,2.939
