length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
5.141,2.898,0.015,0.782,0.021,0.038,0.002,0.032,0.435,3.921,3.123
3.173,4.174,0.025,0.103,0.061,0.04,0.024,0.091,0.39,2.405,2.853
3.025,2.307,0.029,0.422,0.039,0.047,0.008,0.094,0.232,3.047,2.497
4.822,2.103,0.039,0.3,0.035,0.044,0.013,0.098,0.054,3.396,3.351
5.124,4.547,0.031,0.51,0.086,0.044,0.025,0.079,0.151,4.624,2.388
4.204,4.305,0.029,0.486,0.071,0.023,0.004,0.045,0.25,2.244,2.306
3.323,4.983,0.016,0.35,0.058,0.038,0.018,0.074,0.304,4.998,2.578
1.812,5.076,0.026,0.68,0.034,0.034,0.023,0.061,0.422,2.03,4.585
4.902,3.379,0.034,0.16,0.088,0.037,0.011,0.034,0.156,3.711,3.408
3.468,3.067,0.017,0.669,0.057,0.028,0.01,0.083,0.258,4.781,3.889
4.025,3.112,0.016,0.174,0.025,0.034,0.017,0.042,0.254,3.446,3.292
3.964,2.784,0.028,0.329,0.05,0.03,0.011,0.09,0.397,4.255,2.661
2.885,1.817,0.031,0.141,0.097,0.02,0.016,0.03,0.336,3.59,3.673
4.083,4.502,0.032,0.418,0.083,0.024,0.024,0.1,0.411,4.935,4.218
1.928,2.565,0.024,0.295,0.062,0.026,0.022,0.082,0.132,2.934,2.244
2.684,2.981,0.036,0.754,0.043,0.042,0.013,0.095,0.181,3.149,2.228
4.684,3.73,0.037,0.123,0.047,0.049,0.021,0.053,0.344,2.815,3.07
2.933,5.154,0.033,0.355,0.022,0.028,0.001,0.064,0.365,2.205,2.431
2.484,4.663,0.027,0.7,0.082,0.018,0.015,0.087,0.381,2.42,2.953
4.396,3.565,0.01,0.708,0.053,0.036,0.02,0.084,0.145,4.134,3.795
1.97,2.035,0.021,0.597,0.072,0.02,0.003,0.047,0.104,3.8,4.37
4.744,4.438,0.026,0.57,0.09,0.03,0.009,0.025,0.356,2.308,4.98
3.261,2.363,0.012,0.55,0.094,0.017,0.012,0.063,0.327,3.353,4.774
3.426,2.205,0.023,0.457,0.029,0.046,0.006,0.068,0.163,2.577,3.492
4.537,4.023,0.022,0.789,0.084,0.025,0.019,0.059,0.059,3.114,4.254
3.647,3.288,0.018,0.505,0.074,0.05,0.005,0.057,0.238,4.556,3.852
4.328,3.169,0.04,0.208,0.098,0.044,0.007,0.077,0.12,4.065,4.907
3.771,4.828,0.03,0.245,0.047,0.047,0.002,0.049,0.084,3.648,3.957
4.491,4.623,0.015,0.311,0.059,0.031,0.001,0.054,0.444,4.745,3.506
2.624,4.353,0.014,0.186,0.068,0.036,0.004,0.038,0.194,4.023,3.571
4.937,4.236,0.034,0.633,0.094,0.015,0.014,0.036,0.226,2.764,2.045
5.06,3.604,0.037,0.142,0.04,0.039,0.01,0.076,0.126,4.7,4.022
2.165,3.964,0.025,0.763,0.092,0.024,0.0,0.029,0.193,2.703,3.231
4.289,4.095,0.033,0.653,0.08,0.032,0.02,0.086,0.281,3.242,4.644
3.156,2.844,0.012,0.265,0.097,0.042,0.015,0.044,0.112,3.789,4.747
2.125,2.648,0.035,0.469,0.03,0.035,0.021,0.066,0.207,2.889,2.825
4.176,3.345,0.011,0.631,0.074,0.027,0.018,0.061,0.067,3.869,4.311
2.48,3.863,0.019,0.392,0.024,0.027,0.003,0.05,0.347,4.191,4.406
2.587,2.418,0.023,0.729,0.065,0.033,0.009,0.089,0.293,3.521,4.468
2.045,3.836,0.013,0.235,0.051,0.022,0.019,0.052,0.09,2.608,4.532
2.311,4.902,0.022,0.548,0.078,0.019,0.016,0.073,0.176,2.154,4.137
3.826,3.447,0.014,0.273,0.045,0.048,0.012,0.056,0.428,2.506,2.745
2.783,2.722,0.02,0.219,0.064,0.041,0.023,0.035,0.373,4.469,4.873
3.906,5.042,0.018,0.532,0.077,0.046,0.008,0.039,0.271,4.316,3.013
4.605,4.75,0.019,0.446,0.054,0.04,0.014,0.078,0.405,2.079,3.183
3.619,1.884,0.028,0.618,0.037,0.021,0.022,0.069,0.307,3.311,2.109
2.411,1.98,0.038,0.4,0.042,0.03,0.017,0.04,0.075,4.859,2.147
2.233,2.488,0.038,0.375,0.069,0.016,0.006,0.096,0.285,4.453,2.622
3.523,2.242,0.02,0.743,0.032,0.018,0.005,0.071,0.211,4.391,4.088
2.967,3.698,0.036,0.579,0.027,0.021,0.007,0.027,0.32,3.002,3.737
