length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
2.777,3.303,0.034,0.531,0.032,0.035,0.021,0.064,0.076,2.152,3.842
4.365,2.803,0.028,0.667,0.051,0.034,0.004,0.068,0.298,4.747,3.61
3.186,4.925,0.038,0.191,0.077,0.047,0.011,0.093,0.214,3.785,3.019
2.671,2.433,0.019,0.473,0.098,0.033,0.003,0.098,0.267,4.189,3.449
3.796,1.954,0.033,0.12,0.027,0.021,0.011,0.039,0.058,4.017,4.741
2.334,3.58,0.035,0.688,0.088,0.043,0.023,0.087,0.361,2.034,4.926
3.133,4.649,0.011,0.153,0.04,0.019,0.006,0.033,0.401,4.289,3.323
2.079,3.189,0.014,0.433,0.094,0.034,0.003,0.091,0.061,3.706,2.817
4.832,2.056,0.026,0.27,0.099,0.037,0.025,0.076,0.314,4.438,2.898
3.084,2.074,0.032,0.598,0.074,0.025,0.001,0.038,0.173,2.759,4.789
2.428,2.826,0.024,0.325,0.062,0.019,0.022,0.049,0.087,4.891,3.199
4.409,3.446,0.015,0.412,0.056,0.023,0.02,0.076,0.103,2.243,4.666
2.185,2.53,0.022,0.458,0.047,0.032,0.018,0.028,0.068,3.285,2.274
2.012,3.54,0.037,0.323,0.035,0.047,0.02,0.074,0.204,3.339,4.597
4.205,2.278,0.01,0.654,0.053,0.023,0.005,0.063,0.091,2.113,3.104
2.855,3.12,0.03,0.404,0.028,0.031,0.016,0.036,0.185,3.916,4.435
2.7,4.805,0.026,0.392,0.071,0.027,0.019,0.054,0.107,2.717,4.278
3.499,2.191,0.018,0.363,0.025,0.049,0.008,0.091,0.413,3.079,4.561
3.504,1.899,0.025,0.553,0.078,0.04,0.002,0.052,0.404,4.642,3.749
3.021,2.933,0.031,0.112,0.075,0.024,0.006,0.079,0.26,2.532,3.994
3.916,3.963,0.014,0.679,0.043,0.035,0.015,0.081,0.387,3.812,3.3
4.539,4.325,0.024,0.448,0.063,0.017,0.007,0.027,0.194,2.817,2.585
3.605,4.271,0.036,0.207,0.039,0.017,0.018,0.026,0.351,3.648,3.967
4.911,4.43,0.019,0.225,0.083,0.038,0.008,0.086,0.428,3.192,2.412
4.171,4.242,0.012,0.376,0.023,0.028,0.0,0.056,0.375,4.107,2.637
3.384,4.173,0.016,0.733,0.091,0.024,0.007,0.046,0.15,4.775,2.349
4.774,3.736,0.021,0.605,0.06,0.02,0.002,0.071,0.188,3.92,2.064
5.007,2.971,0.016,0.497,0.087,0.045,0.023,0.082,0.238,2.997,2.035
4.11,3.783,0.017,0.795,0.069,0.015,0.001,0.078,0.219,2.877,4.392
2.36,3.976,0.04,0.538,0.033,0.021,0.013,0.097,0.154,3.133,2.169
2.509,3.402,0.023,0.573,0.084,0.041,0.016,0.031,0.134,3.438,4.081
3.275,4.743,0.02,0.309,0.046,0.046,0.017,0.061,0.127,2.226,4.333
3.77,2.378,0.021,0.238,0.095,0.049,0.021,0.052,0.296,4.848,3.063
4.281,3.253,0.032,0.71,0.036,0.026,0.005,0.1,0.425,2.421,3.504
4.708,5.066,0.025,0.247,0.024,0.044,0.01,0.059,0.333,4.276,2.706
1.904,4.46,0.013,0.578,0.03,0.031,0.017,0.057,0.284,4.622,2.77
4.469,5.053,0.021,0.75,0.055,0.028,0.019,0.041,0.441,3.442,3.705
2.221,4.093,0.018,0.776,0.081,0.018,0.014,0.089,0.444,4.47,2.22
5.154,4.982,0.013,0.621,0.068,0.029,0.012,0.042,0.254,2.935,4.117
1.968,2.226,0.031,0.26,0.045,0.043,0.01,0.047,0.341,2.327,3.436
4.956,3.077,0.027,0.76,0.066,0.036,0.013,0.061,0.318,2.612,3.892
2.574,4.532,0.028,0.721,0.071,0.026,0.022,0.069,0.119,2.392,4.475
3.33,3.681,0.034,0.165,0.063,0.044,0.012,0.043,0.282,3.597,4.828
3.869,2.714,0.029,0.175,0.057,0.016,0.009,0.035,0.144,4.974,2.42
4.632,2.586,0.012,0.638,0.041,0.041,0.009,0.085,0.363,3.23,3.219
5.127,3.849,0.039,0.345,0.08,0.039,0.015,0.094,0.23,4.354,3.653
4.019,1.831,0.037,0.488,0.049,0.038,0.024,0.049,0.323,4.073,4.216
3.658,5.183,0.039,0.515,0.093,0.03,0.024,0.032,0.165,2.588,2.902
2.936,2.663,0.03,0.141,0.09,0.049,0.014,0.073,0.385,4.561,2.494
1.835,4.661,0.036,0.287,0.02,0.042,0.004,0.067,0.246,3.531,4.991
