length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
2.735,4.524,0.022,0.251,0.066,0.042,0.009,0.097,0.219,2.369,2.3
2.511,4.921,0.016,0.388,0.05,0.032,0.017,0.046,0.408,2.02,4.223
2.349,4.8,0.033,0.619,0.069,0.029,0.018,0.037,0.132,2.98,3.033
3.826,2.199,0.021,0.156,0.02,0.039,0.005,0.095,0.311,4.39,3.993
2.622,1.954,0.017,0.16,0.077,0.028,0.019,0.089,0.288,3.923,2.903
3.128,3.31,0.038,0.367,0.039,0.048,0.013,0.086,0.093,3.523,4.674
3.888,3.098,0.034,0.295,0.047,0.037,0.006,0.073,0.112,2.606,2.018
3.495,3.554,0.036,0.701,0.097,0.047,0.014,0.058,0.115,4.538,4.773
1.963,3.469,0.034,0.213,0.025,0.022,0.012,0.029,0.436,2.127,4.372
3.174,4.734,0.022,0.789,0.048,0.05,0.023,0.071,0.393,3.275,3.866
1.932,4.335,0.013,0.608,0.034,0.049,0.002,0.068,0.396,2.468,3.978
2.757,4.31,0.037,0.239,0.09,0.018,0.007,0.093,0.215,4.88,2.61
4.283,4.122,0.023,0.421,0.026,0.046,0.004,0.082,0.183,2.884,2.403
5.078,2.788,0.024,0.561,0.093,0.028,0.001,0.061,0.279,3.356,4.467
1.847,5.163,0.025,0.127,0.089,0.034,0.009,0.084,0.125,3.779,2.515
3.429,3.949,0.029,0.547,0.04,0.036,0.019,0.092,0.153,2.206,3.178
2.063,3.888,0.03,0.17,0.062,0.015,0.013,0.054,0.242,2.337,3.317
2.875,3.703,0.019,0.68,0.095,0.026,0.016,0.049,0.372,3.64,2.78
4.779,3.584,0.037,0.279,0.055,0.019,0.021,0.078,0.163,3.869,3.566
4.654,2.684,0.014,0.577,0.083,0.035,0.003,0.042,0.057,4.119,3.138
4.156,2.869,0.017,0.467,0.067,0.033,0.004,0.033,0.369,4.679,2.073
4.693,2.378,0.026,0.783,0.043,0.017,0.014,0.053,0.259,3.184,2.239
2.264,4.211,0.012,0.743,0.053,0.045,0.003,0.098,0.294,4.419,3.556
3.916,4.945,0.028,0.401,0.06,0.043,0.007,0.032,0.41,3.471,4.855
4.932,4.063,0.038,0.355,0.036,0.031,0.021,0.082,0.227,4.23,4.757
2.889,2.224,0.031,0.72,0.073,0.024,0.01,0.06,0.257,4.016,3.703
2.295,3.191,0.019,0.746,0.031,0.025,0.006,0.052,0.085,4.069,4.34
2.606,5.066,0.032,0.129,0.058,0.022,0.02,0.026,0.162,4.312,4.06
2.456,4.593,0.018,0.114,0.035,0.038,0.002,0.075,0.208,3.686,3.779
2.08,2.677,0.039,0.186,0.03,0.03,0.022,0.035,0.328,2.269,4.189
4.012,2.897,0.023,0.523,0.055,0.04,0.011,0.066,0.196,2.691,3.384
4.91,3.723,0.025,0.641,0.091,0.048,0.018,0.09,0.378,3.034,4.577
4.205,4.715,0.011,0.479,0.029,0.016,0.025,0.047,0.301,4.204,2.663
2.157,1.814,0.014,0.767,0.022,0.041,0.0,0.087,0.344,3.405,2.889
4.444,2.583,0.028,0.705,0.075,0.02,0.022,0.08,0.099,4.919,2.778
4.846,3.286,0.027,0.504,0.027,0.02,0.008,0.05,0.352,4.503,2.589
3.523,2.104,0.031,0.602,0.072,0.027,0.024,0.039,0.322,3.224,2.465
5.153,3.423,0.035,0.313,0.041,0.025,0.017,0.064,0.176,3.133,3.836
2.996,4.425,0.016,0.209,0.065,0.032,0.023,0.07,0.062,3.818,4.141
4.579,2.282,0.015,0.334,0.079,0.033,0.01,0.072,0.239,3.57,4.92
3.039,3.835,0.036,0.347,0.08,0.043,0.005,0.04,0.449,4.73,4.406
3.333,2.518,0.02,0.518,0.045,0.044,0.015,0.038,0.142,2.721,2.168
3.65,3.028,0.014,0.672,0.082,0.038,0.001,0.063,0.078,2.96,3.678
3.242,2.035,0.026,0.256,0.099,0.045,0.012,0.031,0.431,4.962,4.969
4.509,4.022,0.03,0.298,0.085,0.035,0.008,0.059,0.362,2.098,3.21
3.574,1.899,0.01,0.455,0.086,0.026,0.011,0.056,0.419,4.764,2.313
3.707,5.064,0.012,0.658,0.071,0.023,0.016,0.028,0.19,4.601,4.591
4.102,2.413,0.039,0.57,0.051,0.041,0.015,0.044,0.273,2.837,3.488
5.029,3.021,0.021,0.437,0.059,0.021,0.024,0.076,0.335,2.549,3.018
4.362,4.455,0.032,0.435,0.097,0.018,0.02,0.099,0.072,2.505,3.366
