length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
4.094,1.848,0.026,0.575,0.064,0.042,0.005,0.097,0.144,4.541,2.506
4.306,2.723,0.023,0.738,0.046,0.028,0.023,0.065,0.105,2.159,3.229
2.827,4.535,0.017,0.171,0.072,0.019,0.008,0.052,0.192,3.507,2.679
2.966,2.232,0.027,0.135,0.061,0.041,0.024,0.075,0.181,4.47,4.91
3.589,3.613,0.021,0.545,0.074,0.05,0.009,0.03,0.403,3.27,3.657
2.618,1.896,0.039,0.752,0.085,0.039,0.012,0.087,0.249,2.959,2.07
4.853,3.265,0.031,0.371,0.067,0.046,0.004,0.069,0.445,4.43,4.282
3.145,3.317,0.038,0.463,0.096,0.015,0.025,0.053,0.416,2.599,2.19
4.512,2.884,0.023,0.64,0.05,0.03,0.011,0.089,0.342,3.14,3.311
2.738,4.694,0.037,0.441,0.063,0.037,0.005,0.046,0.432,4.246,3.814
1.932,4.235,0.033,0.273,0.031,0.023,0.006,0.041,0.106,2.743,4.695
3.415,4.614,0.029,0.318,0.051,0.018,0.007,0.036,0.375,4.042,2.024
2.346,3.497,0.015,0.26,0.088,0.03,0.022,0.058,0.217,4.16,2.786
1.822,3.758,0.032,0.219,0.055,0.035,0.001,0.033,0.232,2.202,4.858
3.181,3.97,0.026,0.582,0.059,0.045,0.02,0.086,0.401,2.337,3.526
4.727,4.744,0.033,0.646,0.021,0.018,0.01,0.073,0.381,4.943,4.571
2.513,4.474,0.014,0.465,0.091,0.03,0.023,0.067,0.121,4.77,4.042
3.567,3.786,0.028,0.689,0.08,0.035,0.017,0.077,0.268,2.717,3.938
2.257,5.031,0.011,0.517,0.077,0.027,0.011,0.035,0.321,2.852,2.923
4.365,2.346,0.022,0.357,0.078,0.048,0.024,0.043,0.218,3.61,4.991
4.627,3.119,0.012,0.227,0.023,0.044,0.015,0.078,0.08,3.916,4.81
3.816,4.446,0.016,0.729,0.083,0.034,0.014,0.071,0.167,2.02,3.744
3.68,4.34,0.025,0.759,0.093,0.033,0.021,0.026,0.241,2.822,2.131
2.313,4.297,0.018,0.782,0.044,0.023,0.016,0.047,0.209,2.436,4.149
3.752,4.04,0.014,0.305,0.041,0.048,0.001,0.1,0.092,4.65,2.879
5.074,4.925,0.038,0.348,0.037,0.02,0.002,0.04,0.418,4.213,4.374
5.17,3.384,0.04,0.793,0.031,0.032,0.003,0.049,0.262,3.066,3.37
2.948,3.853,0.034,0.669,0.095,0.034,0.012,0.037,0.051,2.391,2.26
3.463,4.159,0.025,0.202,0.086,0.045,0.02,0.042,0.356,4.932,2.431
3.982,2.9,0.02,0.151,0.048,0.037,0.017,0.027,0.132,3.16,4.469
1.959,4.981,0.01,0.529,0.052,0.049,0.022,0.093,0.289,2.608,3.175
4.127,2.476,0.022,0.161,0.026,0.037,0.008,0.074,0.071,3.343,3.072
4.915,2.155,0.037,0.556,0.044,0.025,0.006,0.032,0.363,3.788,2.372
2.098,2.776,0.012,0.412,0.035,0.023,0.019,0.082,0.299,3.728,4.627
4.397,2.618,0.029,0.597,0.066,0.028,0.014,0.029,0.162,4.328,3.019
4.934,3.008,0.034,0.106,0.034,0.031,0.004,0.06,0.152,4.585,2.336
3.056,3.546,0.02,0.334,0.027,0.016,0.016,0.055,0.334,4.7,3.406
4.711,5.128,0.028,0.118,0.058,0.026,0.019,0.055,0.294,3.403,2.585
4.229,3.196,0.031,0.71,0.055,0.04,0.018,0.08,0.352,2.25,4.438
3.89,2.138,0.019,0.61,0.068,0.025,0.003,0.091,0.171,4.835,3.113
2.613,2.3,0.035,0.631,0.071,0.022,0.018,0.09,0.129,2.492,4.22
3.293,4.831,0.03,0.496,0.04,0.042,0.0,0.064,0.254,3.223,3.57
3.319,5.194,0.036,0.403,0.075,0.039,0.015,0.067,0.066,3.019,2.606
4.527,3.08,0.013,0.43,0.022,0.021,0.002,0.082,0.325,2.064,3.463
5.001,3.669,0.024,0.288,0.03,0.026,0.021,0.049,0.282,3.938,4.174
2.443,2.541,0.017,0.25,0.1,0.019,0.009,0.062,0.087,3.46,4.743
2.009,2.575,0.012,0.392,0.098,0.047,0.007,0.059,0.393,4.387,4.006
2.791,4.084,0.017,0.48,0.09,0.04,0.013,0.095,0.311,3.63,3.698
2.173,1.993,0.035,0.185,0.081,0.016,0.013,0.085,0.44,3.992,2.731
3.933,2.019,0.019,0.676,0.038,0.044,0.01,0.098,0.2,3.804,3.872
