length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
4.987,4.758,0.035,0.31,0.026,0.03,0.016,0.052,0.226,3.763,4.198
3.941,2.435,0.018,0.56,0.076,0.047,0.022,0.055,0.174,3.021,3.668
2.034,3.399,0.023,0.638,0.074,0.036,0.021,0.038,0.102,3.483,3.555
4.323,2.043,0.033,0.273,0.032,0.016,0.009,0.026,0.184,4.199,3.172
2.35,2.161,0.037,0.324,0.036,0.044,0.024,0.063,0.194,3.018,2.189
4.208,3.751,0.027,0.771,0.081,0.025,0.023,0.086,0.297,2.376,3.008
5.196,3.119,0.029,0.604,0.038,0.018,0.014,0.079,0.432,3.216,3.35
2.15,2.737,0.024,0.25,0.081,0.027,0.016,0.062,0.447,3.935,3.438
1.999,2.929,0.016,0.662,0.052,0.049,0.02,0.039,0.108,2.064,2.411
2.573,2.266,0.025,0.537,0.046,0.038,0.019,0.045,0.361,2.66,4.871
3.279,3.068,0.032,0.214,0.089,0.023,0.0,0.07,0.069,4.266,4.938
3.424,2.102,0.03,0.431,0.069,0.029,0.003,0.061,0.255,2.905,4.273
4.106,3.598,0.027,0.507,0.022,0.043,0.021,0.076,0.249,4.672,3.137
2.289,4.471,0.026,0.649,0.058,0.025,0.001,0.029,0.399,2.03,3.303
2.099,3.867,0.022,0.161,0.029,0.031,0.007,0.046,0.159,2.147,3.94
3.737,4.162,0.038,0.407,0.085,0.015,0.005,0.05,0.148,2.433,4.662
1.807,4.265,0.027,0.735,0.059,0.049,0.002,0.032,0.435,3.579,2.255
2.646,4.059,0.03,0.456,0.055,0.022,0.02,0.073,0.34,2.75,2.307
4.649,4.868,0.024,0.589,0.049,0.022,0.015,0.057,0.329,4.903,2.815
3.6,5.098,0.013,0.443,0.071,0.037,0.01,0.035,0.094,4.042,4.457
4.249,2.852,0.021,0.682,0.044,0.045,0.005,0.028,0.12,4.588,4.114
3.81,4.696,0.017,0.604,0.031,0.026,0.007,0.044,0.241,2.537,2.587
4.766,4.946,0.032,0.114,0.049,0.04,0.013,0.094,0.407,3.867,2.484
2.724,1.953,0.015,0.182,0.061,0.019,0.014,0.064,0.371,3.833,4.333
2.963,3.237,0.039,0.33,0.033,0.028,0.001,0.053,0.06,2.641,2.679
2.242,4.353,0.035,0.21,0.066,0.041,0.017,0.042,0.319,4.45,2.924
3.201,4.647,0.012,0.123,0.024,0.043,0.003,0.054,0.139,4.292,2.091
4.144,3.337,0.015,0.379,0.062,0.024,0.004,0.087,0.38,3.294,2.158
3.047,2.401,0.021,0.232,0.07,0.016,0.025,0.081,0.338,4.758,3.704
5.117,2.611,0.019,0.487,0.098,0.041,0.024,0.098,0.081,2.565,5.0
2.522,4.43,0.034,0.351,0.051,0.017,0.013,0.067,0.199,2.801,4.373
3.689,3.644,0.019,0.563,0.086,0.033,0.023,0.059,0.128,3.415,3.879
3.334,3.193,0.028,0.141,0.056,0.035,0.012,0.084,0.205,3.356,3.842
2.424,1.849,0.031,0.475,0.094,0.046,0.018,0.03,0.416,3.182,3.465
2.867,4.018,0.033,0.697,0.097,0.03,0.011,0.034,0.168,4.539,3.027
4.84,3.542,0.022,0.257,0.067,0.027,0.018,0.07,0.22,4.946,2.613
3.471,4.579,0.038,0.188,0.027,0.044,0.022,0.036,0.309,4.791,2.857
3.98,2.286,0.04,0.781,0.091,0.042,0.002,0.041,0.054,4.489,4.531
5.004,2.538,0.02,0.707,0.045,0.02,0.008,0.066,0.289,3.649,3.781
4.884,4.207,0.012,0.529,0.094,0.036,0.008,0.096,0.278,3.124,4.085
3.503,2.799,0.016,0.386,0.087,0.048,0.009,0.082,0.389,4.117,3.577
4.694,3.933,0.011,0.758,0.037,0.029,0.015,0.092,0.083,3.981,2.006
4.522,5.189,0.034,0.629,0.099,0.02,0.019,0.076,0.347,3.718,2.442
2.925,3.449,0.036,0.725,0.042,0.039,0.011,0.073,0.424,2.881,4.005
2.797,2.662,0.01,0.366,0.041,0.021,0.004,0.089,0.268,2.303,2.767
1.873,5.048,0.013,0.496,0.078,0.047,0.006,0.049,0.136,4.821,4.706
3.868,3.787,0.014,0.417,0.02,0.035,0.006,0.099,0.301,2.258,3.22
4.449,2.981,0.017,0.287,0.063,0.032,0.01,0.094,0.259,3.534,4.467
3.138,1.894,0.037,0.79,0.075,0.033,0.012,0.091,0.214,2.183,4.779
4.499,4.853,0.025,0.149,0.083,0.039,0.017,0.079,0.368,4.394,4.619
